v1,V(n001),V(n002),Ic(Q1),Ib(Q1),Ie(Q1),I(I1),I(V1)
12.239999999999783,12.24,0.7378199,0.020983081,1e-04,-0.021083081,1e-04,-0.020983081
12.249999999999783,12.25,0.73782027,0.020984963,1e-04,-0.021084962,1e-04,-0.020984963
12.259999999999783,12.26,0.7378206,0.020986844,1e-04,-0.021086844,1e-04,-0.020986844
12.269999999999783,12.27,0.73782104,0.020988725,1e-04,-0.021088727,1e-04,-0.020988725
12.279999999999783,12.28,0.7378214,0.020990608,1e-04,-0.021090608,1e-04,-0.020990608
12.289999999999782,12.29,0.73782176,0.02099249,1e-04,-0.02109249,1e-04,-0.02099249
12.299999999999782,12.3,0.7378222,0.02099437,1e-04,-0.02109437,1e-04,-0.02099437
12.309999999999782,12.31,0.73782253,0.020996252,1e-04,-0.021096254,1e-04,-0.020996252
12.319999999999782,12.32,0.7378229,0.020998135,1e-04,-0.021098135,1e-04,-0.020998135
12.329999999999782,12.33,0.7378233,0.021000016,1e-04,-0.021100016,1e-04,-0.021000016
12.339999999999781,12.34,0.73782367,0.021001898,1e-04,-0.021101898,1e-04,-0.021001898
12.349999999999781,12.35,0.737824,0.02100378,1e-04,-0.02110378,1e-04,-0.02100378
12.359999999999781,12.36,0.73782444,0.021005662,1e-04,-0.021105662,1e-04,-0.021005662
12.36999999999978,12.37,0.7378248,0.021007543,1e-04,-0.021107543,1e-04,-0.021007543
12.37999999999978,12.38,0.73782516,0.021009425,1e-04,-0.021109425,1e-04,-0.021009425
12.38999999999978,12.39,0.7378256,0.021011308,1e-04,-0.021111308,1e-04,-0.021011308
12.39999999999978,12.4,0.73782593,0.02101319,1e-04,-0.021113189,1e-04,-0.02101319
12.40999999999978,12.41,0.7378263,0.02101507,1e-04,-0.02111507,1e-04,-0.02101507
12.41999999999978,12.42,0.73782665,0.021016952,1e-04,-0.021116951,1e-04,-0.021016952
12.42999999999978,12.43,0.73782706,0.021018835,1e-04,-0.021118835,1e-04,-0.021018835
12.43999999999978,12.44,0.7378274,0.021020716,1e-04,-0.021120716,1e-04,-0.021020716
12.449999999999779,12.45,0.7378278,0.021022597,1e-04,-0.021122597,1e-04,-0.021022597
12.459999999999779,12.46,0.7378282,0.021024479,1e-04,-0.02112448,1e-04,-0.021024479
12.469999999999779,12.47,0.73782855,0.021026362,1e-04,-0.021126362,1e-04,-0.021026362
12.479999999999778,12.48,0.7378289,0.021028243,1e-04,-0.021128243,1e-04,-0.021028243
12.489999999999778,12.49,0.7378293,0.021030124,1e-04,-0.021130124,1e-04,-0.021030124
12.499999999999778,12.5,0.7378297,0.021032007,1e-04,-0.021132007,1e-04,-0.021032007
12.509999999999778,12.51,0.73783004,0.021033889,1e-04,-0.021133889,1e-04,-0.021033889
12.519999999999778,12.52,0.73783046,0.02103577,1e-04,-0.02113577,1e-04,-0.02103577
12.529999999999777,12.53,0.7378308,0.021037651,1e-04,-0.021137651,1e-04,-0.021037651
12.539999999999777,12.54,0.7378312,0.021039534,1e-04,-0.021139534,1e-04,-0.021039534
12.549999999999777,12.55,0.7378316,0.021041416,1e-04,-0.021141415,1e-04,-0.021041416
12.559999999999777,12.56,0.73783195,0.021043297,1e-04,-0.021143297,1e-04,-0.021043297
12.569999999999776,12.57,0.7378323,0.021045178,1e-04,-0.021145178,1e-04,-0.021045178
12.579999999999776,12.58,0.73783267,0.021047061,1e-04,-0.021147061,1e-04,-0.021047061
12.589999999999776,12.59,0.7378331,0.021048943,1e-04,-0.021148942,1e-04,-0.021048943
